Artist_Name,Artist_ID
Shuta Sueyoshi,633
YonYon,634
Dream Shizuka,635
竹内アンナ,636
ANIMAL HACK,637
Mitski,638
Robyn,639
Future Islands,640
FKA twigs,641
Lana Del Rey,642
Perfume Genius,643
Frank Ocean,644
Grimes,645
Tame Impala,646
Young Thug,647
Soccer Mommy,648
Vampire Weekend,649
Vince Staples,650
Lorde,651
Bon Iver,652
Angel Olsen,653
KAYTRANADA,654
Jai Paul,655
M83,656
Parquet Courts,657
Thundercat,658
Kurt Vile,659
Sufjan Stevens,660
Pinegrove,661
Run The Jewels,662
Arcade Fire,663
Clairo,664
Courtney Barnett,665
James Blake,666
Beach House,667
The War On Drugs,668
The xx,669
Noname,670
Youth Lagoon,671
Mac DeMarco,672
Solange,673
Fleet Foxes,674
Alabama Shakes,675
SBTRKT,676
The National,677
Snail Mail,678
The Internet,679
Unknown Mortal Orchestra,680
Maggie Rogers,681
Lucy Dacus,682
"Tyler, The Creator",683
Caribou,684
Wet,685
Yaeji,686
Purple Mountains,687
Lykke Li,688
Tierra Whack,689
Father John Misty,690
Rex Orange County,691
Sampha,692
Phoebe Bridgers,693
John Maus,694
Blood Orange,695
Sharon Van Etten,696
Jon Hopkins,697
Destroyer,698
Car Seat Headrest,699
Danny Brown,700
The 1975,701
Earl Sweatshirt,702
Ariel Pink,703
Japanese Breakfast,704
Flying Lotus,705
Deerhunter,706
Cloud Nothings,707
The Blaze,708
Majical Cloudz,709
Still Woozy,710
Local Natives,711
Whitney,712
Sylvan Esso,713
Jamie xx,714
Bill Callahan,715
St. Vincent,716
Orion Sun,717
Death Grips,718
HAIM,719
Sleigh Bells,720
Big Thief,721
CHVRCHES,722
Alvvays,723
Nicolas Jaar,724
Cuco,725
U.S. Girls,726
PJ Harvey,727
Choker,728
Purity Ring,729
Jungle,730
Deborah Dworshipper,731
Keo Nozari,732
Lou Ella,733
Tom Goss,734
Saint Mars,735
Adil C,736
Nick Hames,737
Bailey Crego,738
Harry Styles,739
Chip Conyard,740
Blair Woods,741
Melissa Crispo,742
Maxwell Luke,743
Amber Ryann,744
Kat Holland,745
Lauren Presley,746
CTZNJ,747
Ksenia,748
Kevlah,749
